post_uri,posted_at,text
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mulhck6m4k22,2026-09-03T02:57:46.321Z,"Casually pouring a bag of shredded cheese in my mouth, because really, is there any other way?"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mulewkmo5k22,2026-09-03T02:15:16.647Z,It sure has! Sleep well!!
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muleujj5cc2i,2026-09-03T02:14:08.371Z,Yep. Absolutely 😊
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mulejvnpms22,2026-09-03T02:08:12.008Z,"True, true. I feel this."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muleiix7b22x,2026-09-03T02:07:25.131Z,Bless you 🙏
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muleddl6js2x,2026-09-03T02:04:31.719Z,I'm way familiar with the dialects around Rhineland-Pfalz. Anywhere else I need to listen more carefully.
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mule2bmbq222,2026-09-03T01:59:27.671Z,"I did not know that. Pretty cool. I have never actually heard it at length, but yeah, I already know I wouldn't have an ear for it. Swiss German is hard enough for me."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muldpjsypk2x,2026-09-03T01:53:27.181Z,Whoa. Schrödinger's Shawarma.
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muldfz4xqc2k,2026-09-03T01:48:07.673Z,I wouldn't even be able to begin understanding Rumantsch
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muldbkztwc2z,2026-09-03T01:45:38.676Z,Fun... yes... 😅
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mulcy2dl522h,2026-09-03T01:40:19.195Z,"Oh, I can believe it. It's practically indecipherable unless you have an ear for it"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mulcwd2cwc2h,2026-09-03T01:39:21.210Z,👀 Lmfao 🤣🤣
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mulcckkyps2b,2026-09-03T01:28:18.002Z,"To be fair, that's a pretty interesting pair of words to be that close together in language"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mulc4s2dis2x,2026-09-03T01:25:04.535Z,Philosopher:  What shawarma?
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mulbzjil2c2x,2026-09-03T01:23:14.873Z,STOP THE PRESSES!
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mulbswco4k2a,2026-09-03T01:19:33.452Z,"Can't, giving my cat an anal bleaching.

... don't look at me like that, he requested it."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mulbmppsnk26,2026-09-03T01:16:05.221Z,Warning: may cause chronic flatulence of the brain
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mulbcwvogk26,2026-09-03T01:10:37.202Z,"""Where two or more gather, there I will be also.""
The Gospel of Bluesky mods, Chapter Dog, Verse Pile"
